user_id,platform,activity_date,acquisition_date
19,ios,2024-01-14,2024-01-14
22,android,2024-02-24,2024-01-16
22,android,2024-02-28,2024-01-16
22,android,2024-03-01,2024-01-16
59,android,2024-01-24,2024-01-24
78,android,2024-02-03,2024-01-17
78,android,2024-02-08,2024-01-17
82,android,2024-01-27,2024-01-20
88,ios,2024-01-22,2024-01-22
100,android,2024-01-06,2024-01-06
105,android,2024-01-30,2024-01-30
116,android,2024-01-24,2024-01-24
116,android,2024-01-26,2024-01-24
116,android,2024-01-27,2024-01-24
116,android,2024-01-31,2024-01-24
116,android,2024-02-01,2024-01-24
116,android,2024-02-02,2024-01-24
116,android,2024-02-05,2024-01-24
116,android,2024-02-06,2024-01-24
116,android,2024-02-10,2024-01-24
116,android,2024-02-11,2024-01-24
116,android,2024-02-13,2024-01-24
116,android,2024-02-15,2024-01-24
116,android,2024-02-20,2024-01-24
116,android,2024-02-21,2024-01-24
116,android,2024-02-22,2024-01-24
116,android,2024-02-23,2024-01-24
116,android,2024-02-25,2024-01-24
116,android,2024-02-27,2024-01-24
116,android,2024-02-29,2024-01-24
128,ios,2024-01-06,2024-01-06
145,ios,2024-01-22,2024-01-18
154,android,2024-01-31,2024-01-31
156,android,2024-01-31,2024-01-16
156,android,2024-02-10,2024-01-16
158,android,2024-01-23,2024-01-22
158,android,2024-01-24,2024-01-22
158,android,2024-01-25,2024-01-22
158,android,2024-01-26,2024-01-22
158,android,2024-01-27,2024-01-22
158,android,2024-01-28,2024-01-22
158,android,2024-01-29,2024-01-22
158,android,2024-01-30,2024-01-22
158,android,2024-01-31,2024-01-22
158,android,2024-02-01,2024-01-22
158,android,2024-02-02,2024-01-22
158,android,2024-02-04,2024-01-22
158,android,2024-02-05,2024-01-22
158,android,2024-02-06,2024-01-22
158,android,2024-02-07,2024-01-22
158,android,2024-02-08,2024-01-22
158,android,2024-02-09,2024-01-22
158,android,2024-02-10,2024-01-22
158,android,2024-02-11,2024-01-22
158,android,2024-02-12,2024-01-22
158,android,2024-02-13,2024-01-22
158,android,2024-02-14,2024-01-22
158,android,2024-02-15,2024-01-22
158,android,2024-02-16,2024-01-22
158,android,2024-02-17,2024-01-22
158,android,2024-02-18,2024-01-22
158,android,2024-02-21,2024-01-22
158,android,2024-02-22,2024-01-22
