user_id,activity_date,match_type,finish_position,bots,n_matches
8921,2023-12-04,C,1,1,1
7635,2024-01-08,A,2,2,1
9928,2023-12-04,A,2,2,1
4091,2024-01-21,C,1,1,1
10254,2024-02-15,C,1,0,1
10148,2024-02-15,C,4,0,1
838,2024-01-03,A,4,0,1
16387,2023-12-24,A,2,2,1
946,2023-12-09,A,2,2,1
1388,2024-02-13,A,4,4,1
2713,2023-12-20,C,,4,1
2204,2024-02-27,C,3,3,1
1785,2023-12-25,B,1,1,1
15686,2023-12-18,A,4,4,1
7593,2023-12-26,C,2,2,1
6625,2024-02-05,C,3,3,1
3447,2024-01-19,C,4,4,2
7397,2023-12-28,C,1,1,1
4325,2024-01-27,C,4,0,1
3505,2024-01-25,C,4,0,1
11150,2024-02-20,A,3,3,1
14189,2024-01-26,C,4,0,1
4860,2023-12-11,C,2,0,1
1287,2024-02-06,C,,4,1
3189,2023-12-22,C,2,2,1
4192,2024-01-05,C,2,0,1
2713,2024-01-23,C,4,4,1
2713,2023-12-16,C,,4,1
6054,2024-01-04,A,1,1,2
4676,2024-01-15,A,1,1,1
6822,2024-01-11,C,2,2,1
5694,2024-02-16,C,1,1,1
927,2024-03-01,A,2,2,1
4875,2024-01-12,C,2,2,1
5895,2024-02-13,A,1,1,1
4083,2024-01-23,C,4,4,1
2104,2024-01-05,A,2,0,1
2914,2023-12-07,B,1,1,1
12452,2023-12-12,C,3,0,1
7571,2024-02-16,C,4,0,1
5715,2024-01-08,A,1,0,1
16639,2023-12-12,A,2,2,1
8860,2024-02-19,A,2,2,1
3166,2024-02-24,A,1,1,1
13453,2024-02-25,C,1,0,1
5454,2024-01-20,A,4,4,1
6692,2024-02-12,A,2,2,1
1964,2023-12-12,A,3,3,1
6968,2024-02-04,C,2,0,1
281,2024-01-04,A,2,2,1
8432,2024-02-02,A,4,4,1
1400,2024-02-09,A,4,4,1
1575,2023-12-16,A,4,4,1
9928,2024-01-22,A,1,1,1
6822,2024-02-10,A,1,1,2
4860,2023-12-07,C,2,0,1
7894,2023-12-27,C,4,4,1
1983,2023-12-08,A,3,0,1
6947,2024-02-14,C,4,0,1
3972,2023-12-18,C,2,2,1
5652,2024-02-18,C,1,1,2
3568,2024-01-04,A,1,0,1
11449,2024-01-12,A,2,2,3
