,user_id,platform,activity_date,acquisition_date
0,19,ios,2024-01-14,2024-01-14
3,22,android,2024-03-01,2024-01-16
4,59,android,2024-01-24,2024-01-24
6,78,android,2024-02-08,2024-01-17
7,82,android,2024-01-27,2024-01-20
8,88,ios,2024-01-22,2024-01-22
9,100,android,2024-01-06,2024-01-06
10,105,android,2024-01-30,2024-01-30
29,116,android,2024-02-29,2024-01-24
30,128,ios,2024-01-06,2024-01-06
31,145,ios,2024-01-22,2024-01-18
32,154,android,2024-01-31,2024-01-31
34,156,android,2024-02-10,2024-01-16
69,158,android,2024-03-01,2024-01-22
70,171,android,2024-01-27,2024-01-25
75,172,android,2024-01-15,2024-01-11
76,194,ios,2024-01-12,2024-01-11
90,197,ios,2024-02-29,2024-01-11
128,198,android,2024-02-29,2024-01-16
130,204,android,2024-01-13,2024-01-06
131,213,android,2024-01-03,2024-01-03
133,229,android,2024-02-12,2024-01-25
137,236,android,2024-01-31,2024-01-02
138,243,android,2024-01-04,2024-01-04
139,254,android,2024-01-30,2024-01-30
141,296,android,2024-01-08,2024-01-07
142,324,android,2024-01-15,2024-01-15
145,341,ios,2024-01-29,2024-01-13
146,358,android,2024-01-05,2024-01-05
147,361,android,2024-01-08,2024-01-06
149,363,android,2024-01-26,2024-01-25
151,371,ios,2024-01-26,2024-01-18
153,376,android,2024-02-21,2024-01-30
155,444,android,2024-02-03,2024-01-29
157,448,android,2024-01-21,2024-01-20
160,496,android,2024-01-31,2024-01-18
163,550,android,2024-02-07,2024-01-14
167,561,android,2024-01-18,2024-01-14
170,566,android,2024-01-14,2024-01-06
171,583,android,2024-01-17,2024-01-10
175,587,android,2024-01-27,2024-01-20
198,589,android,2024-03-01,2024-01-30
199,628,android,2024-01-27,2024-01-06
209,634,android,2024-03-01,2024-01-23
210,642,android,2024-01-09,2024-01-09
215,675,android,2024-01-30,2024-01-12
216,702,ios,2024-01-18,2024-01-18
217,734,android,2024-01-10,2024-01-10
218,767,android,2024-01-30,2024-01-30
228,772,android,2024-02-19,2024-01-17
229,782,android,2024-01-06,2024-01-06
230,790,android,2024-01-05,2024-01-05
231,803,android,2024-01-06,2024-01-06
233,806,android,2024-02-26,2024-01-23
254,819,android,2024-03-01,2024-01-25
255,821,android,2024-01-14,2024-01-13
256,857,android,2024-01-27,2024-01-26
265,860,android,2024-02-23,2024-01-16
266,861,android,2024-01-30,2024-01-27
280,867,android,2024-02-22,2024-01-12
281,881,ios,2024-01-19,2024-01-18
282,893,android,2024-01-22,2024-01-22
297,902,android,2024-03-01,2024-01-02
306,905,android,2024-01-20,2024-01-02
310,926,android,2024-03-01,2024-01-11
311,932,android,2024-01-28,2024-01-28
312,969,android,2024-01-04,2024-01-04
313,970,ios,2024-01-21,2024-01-20
314,975,,2024-01-28,2024-01-28
318,1013,android,2024-02-17,2024-01-06
319,1034,ios,2024-01-09,2024-01-09
333,1057,android,2024-02-11,2024-01-04
334,1058,android,2024-01-27,2024-01-27
336,1064,ios,2024-01-30,2024-01-16
337,1079,android,2024-01-12,2024-01-12
338,1111,android,2024-01-14,2024-01-14
340,1119,android,2024-01-10,2024-01-08
341,1181,android,2024-01-18,2024-01-11
345,1197,android,2024-02-18,2024-01-18
346,1224,android,2024-01-14,2024-01-14
356,1225,android,2024-02-24,2024-01-07
357,1228,android,2024-01-25,2024-01-23
358,1254,android,2024-01-19,2024-01-19
359,1264,android,2024-01-18,2024-01-18
360,1273,android,2024-01-31,2024-01-28
363,1275,android,2024-01-22,2024-01-10
364,1285,android,2024-01-17,2024-01-17
365,1291,android,2024-02-06,2024-01-30
366,1350,android,2024-01-10,2024-01-10
370,1351,android,2024-01-21,2024-01-09
371,1374,android,2024-01-25,2024-01-23
376,1404,android,2024-02-10,2024-01-24
378,1409,android,2024-01-24,2024-01-02
379,1426,android,2024-01-13,2024-01-10
380,1428,android,2024-01-17,2024-01-13
384,1442,ios,2024-01-14,2024-01-05
386,1469,android,2024-01-24,2024-01-02
387,1473,android,2024-01-17,2024-01-17
390,1505,android,2024-01-16,2024-01-13
393,1513,android,2024-02-01,2024-01-28
394,1536,ios,2024-01-31,2024-01-29
395,1557,android,2024-01-17,2024-01-09
401,1566,android,2024-02-09,2024-01-31
406,1580,android,2024-01-30,2024-01-02
407,1587,android,2024-01-03,2024-01-03
408,1601,android,2024-01-08,2024-01-08
423,1614,android,2024-02-09,2024-01-01
426,1623,android,2024-01-16,2024-01-09
427,1645,android,2024-02-02,2024-01-30
431,1647,android,2024-02-26,2024-01-12
432,1677,android,2024-02-02,2024-01-27
434,1682,android,2024-02-04,2024-01-25
436,1685,ios,2024-01-16,2024-01-09
437,1699,android,2024-01-11,2024-01-08
448,1709,ios,2024-03-01,2024-01-19
460,1745,android,2024-02-27,2024-01-11
461,1762,android,2024-01-10,2024-01-10
468,1771,android,2024-02-29,2024-01-21
470,1782,android,2024-02-05,2024-01-17
479,1821,ios,2024-02-24,2024-01-11
480,1825,android,2024-02-22,2024-01-19
483,1836,ios,2024-01-16,2024-01-06
529,1855,android,2024-03-01,2024-01-14
532,1874,android,2024-02-23,2024-01-31
534,1881,android,2024-02-18,2024-01-21
543,1885,android,2024-02-23,2024-01-17
600,1907,android,2024-03-01,2024-01-01
